Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2000,3.1543951162190824
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2000,87.24398842108279
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2000,1.1659167120460863
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,1.732825083832507
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2000,2.248717434295377
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2000,78.21363714818055
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2000,16.40538216085999
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2000,0.42581973803197964
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,1.2345305656402639
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2000,0.23411603126857844
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2000,68.4994242462541
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2000,13.070663240229742
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2000,9.82362275491146
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,2.9668871382230275
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2000,0.5202847874626111
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2000,19.87739426881529
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2000,18.72024991214739
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2000,42.25733284044597
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,14.913835987166674
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2000,0.009355732325652505
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2000,93.06283289308448
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2000,0.529742057477735
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2000,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,6.2597131405861335
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2000,0.14771190885164817
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2001,3.3980907618688128
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2001,81.54321964761894
